Frame Number,Object ID,Object Class,Zone,Total Left ROI,Total Right ROI,Traffic Status
85,1,Car,Right Lane,3,2,Light
85,10,Car,Left Lane,3,2,Light
85,11,Car,Left Lane,3,2,Light
85,13,Car,Left Lane,3,2,Light
85,14,Car,Right Lane,3,2,Light
86,1,Car,Right Lane,3,2,Light
86,10,Car,Left Lane,3,2,Light
86,11,Car,Left Lane,3,2,Light
86,13,Car,Left Lane,3,2,Light
86,14,Car,Right Lane,3,2,Light
87,1,Car,Right Lane,3,2,Light
87,10,Car,Left Lane,3,2,Light
87,11,Car,Left Lane,3,2,Light
87,13,Car,Left Lane,3,2,Light
87,14,Car,Right Lane,3,2,Light
88,1,Car,Right Lane,3,3,Moderate
88,10,Car,Left Lane,3,3,Moderate
88,11,Car,Left Lane,3,3,Moderate
88,13,Car,Left Lane,3,3,Moderate
88,14,Car,Right Lane,3,3,Moderate
88,15,Car,Right Lane,3,3,Moderate
89,1,Car,Right Lane,3,3,Moderate
89,10,Car,Left Lane,3,3,Moderate
89,11,Car,Left Lane,3,3,Moderate
89,13,Car,Left Lane,3,3,Moderate
89,14,Car,Right Lane,3,3,Moderate
89,15,Car,Right Lane,3,3,Moderate
90,1,Car,Right Lane,3,2,Light
90,10,Car,Left Lane,3,2,Light
90,11,Car,Left Lane,3,2,Light
90,13,Car,Left Lane,3,2,Light
90,14,Car,Right Lane,3,2,Light
91,1,Car,Right Lane,3,3,Moderate
91,10,Car,Left Lane,3,3,Moderate
91,11,Car,Left Lane,3,3,Moderate
91,13,Car,Left Lane,3,3,Moderate
91,14,Car,Right Lane,3,3,Moderate
91,16,Car,Right Lane,3,3,Moderate
92,1,Car,Right Lane,3,2,Light
92,10,Car,Left Lane,3,2,Light
92,11,Car,Left Lane,3,2,Light
92,13,Car,Left Lane,3,2,Light
92,14,Car,Right Lane,3,2,Light
93,1,Car,Right Lane,3,2,Light
93,10,Car,Left Lane,3,2,Light
93,11,Car,Left Lane,3,2,Light
93,13,Car,Left Lane,3,2,Light
93,14,Car,Right Lane,3,2,Light
94,1,Car,Right Lane,3,3,Moderate
94,10,Car,Left Lane,3,3,Moderate
94,11,Car,Left Lane,3,3,Moderate
94,13,Car,Left Lane,3,3,Moderate
94,14,Car,Right Lane,3,3,Moderate
94,17,Car,Right Lane,3,3,Moderate
95,1,Car,Right Lane,3,2,Light
95,10,Car,Left Lane,3,2,Light
95,11,Car,Left Lane,3,2,Light
95,13,Car,Left Lane,3,2,Light
95,14,Car,Right Lane,3,2,Light
96,1,Car,Right Lane,3,2,Light
96,10,Car,Left Lane,3,2,Light
96,11,Car,Left Lane,3,2,Light
96,13,Car,Left Lane,3,2,Light
96,14,Car,Right Lane,3,2,Light
97,1,Car,Right Lane,3,2,Light
97,10,Car,Left Lane,3,2,Light
97,11,Car,Left Lane,3,2,Light
97,13,Car,Left Lane,3,2,Light
97,14,Car,Right Lane,3,2,Light
98,1,Car,Right Lane,4,2,Moderate
98,10,Car,Left Lane,4,2,Moderate
98,11,Car,Left Lane,4,2,Moderate
98,13,Car,Left Lane,4,2,Moderate
98,14,Car,Right Lane,4,2,Moderate
98,18,Car,Left Lane,4,2,Moderate
99,1,Car,Right Lane,4,2,Moderate
99,10,Car,Left Lane,4,2,Moderate
99,11,Car,Left Lane,4,2,Moderate
99,13,Car,Left Lane,4,2,Moderate
99,14,Car,Right Lane,4,2,Moderate
99,18,Car,Left Lane,4,2,Moderate
100,1,Car,Right Lane,4,2,Moderate
100,10,Car,Left Lane,4,2,Moderate
100,11,Car,Left Lane,4,2,Moderate
100,13,Car,Left Lane,4,2,Moderate
100,14,Car,Right Lane,4,2,Moderate
100,18,Car,Left Lane,4,2,Moderate
101,1,Car,Right Lane,4,2,Moderate
101,10,Car,Left Lane,4,2,Moderate
101,11,Car,Left Lane,4,2,Moderate
101,13,Car,Left Lane,4,2,Moderate
101,14,Car,Right Lane,4,2,Moderate
101,18,Car,Left Lane,4,2,Moderate
102,1,Car,Right Lane,4,2,Moderate
102,10,Car,Left Lane,4,2,Moderate
102,11,Car,Left Lane,4,2,Moderate
102,13,Car,Left Lane,4,2,Moderate
102,14,Car,Right Lane,4,2,Moderate
102,18,Car,Left Lane,4,2,Moderate
103,1,Car,Right Lane,4,3,Moderate
103,10,Car,Left Lane,4,3,Moderate
103,11,Car,Left Lane,4,3,Moderate
103,13,Car,Left Lane,4,3,Moderate
103,14,Car,Right Lane,4,3,Moderate
103,18,Car,Left Lane,4,3,Moderate
103,19,Car,Right Lane,4,3,Moderate
104,1,Car,Right Lane,4,3,Moderate
104,10,Car,Left Lane,4,3,Moderate
104,11,Car,Left Lane,4,3,Moderate
104,13,Car,Left Lane,4,3,Moderate
104,14,Car,Right Lane,4,3,Moderate
104,18,Car,Left Lane,4,3,Moderate
104,19,Car,Right Lane,4,3,Moderate
105,1,Car,Right Lane,4,3,Moderate
105,10,Car,Left Lane,4,3,Moderate
105,11,Car,Left Lane,4,3,Moderate
105,13,Car,Left Lane,4,3,Moderate
105,14,Car,Right Lane,4,3,Moderate
105,18,Car,Left Lane,4,3,Moderate
105,19,Car,Right Lane,4,3,Moderate
106,1,Car,Right Lane,4,3,Moderate
106,10,Car,Left Lane,4,3,Moderate
106,11,Car,Left Lane,4,3,Moderate
106,13,Car,Left Lane,4,3,Moderate
106,14,Car,Right Lane,4,3,Moderate
106,18,Car,Left Lane,4,3,Moderate
106,19,Car,Right Lane,4,3,Moderate
107,1,Car,Right Lane,4,3,Moderate
107,10,Car,Left Lane,4,3,Moderate
107,11,Car,Left Lane,4,3,Moderate
107,13,Car,Left Lane,4,3,Moderate
107,14,Car,Right Lane,4,3,Moderate
107,18,Car,Left Lane,4,3,Moderate
107,19,Car,Right Lane,4,3,Moderate
108,1,Car,Right Lane,5,3,Moderate
108,10,Car,Left Lane,5,3,Moderate
108,11,Car,Left Lane,5,3,Moderate
108,13,Car,Left Lane,5,3,Moderate
108,14,Car,Right Lane,5,3,Moderate
108,18,Car,Left Lane,5,3,Moderate
108,19,Car,Right Lane,5,3,Moderate
108,20,Car,Left Lane,5,3,Moderate
109,1,Car,Right Lane,4,3,Moderate
109,10,Car,Left Lane,4,3,Moderate
109,11,Car,Left Lane,4,3,Moderate
109,13,Car,Left Lane,4,3,Moderate
109,14,Car,Right Lane,4,3,Moderate
109,18,Car,Left Lane,4,3,Moderate
109,19,Car,Right Lane,4,3,Moderate
110,1,Car,Right Lane,4,3,Moderate
110,10,Car,Left Lane,4,3,Moderate
110,11,Car,Left Lane,4,3,Moderate
110,13,Car,Left Lane,4,3,Moderate
110,14,Car,Right Lane,4,3,Moderate
110,18,Car,Left Lane,4,3,Moderate
110,19,Car,Right Lane,4,3,Moderate
111,1,Car,Right Lane,4,3,Moderate
111,10,Car,Left Lane,4,3,Moderate
111,11,Car,Left Lane,4,3,Moderate
111,13,Car,Left Lane,4,3,Moderate
111,14,Car,Right Lane,4,3,Moderate
111,18,Car,Left Lane,4,3,Moderate
111,19,Car,Right Lane,4,3,Moderate
112,1,Car,Right Lane,4,3,Moderate
112,10,Car,Left Lane,4,3,Moderate
112,11,Car,Left Lane,4,3,Moderate
112,13,Car,Left Lane,4,3,Moderate
112,14,Car,Right Lane,4,3,Moderate
112,18,Car,Left Lane,4,3,Moderate
112,19,Car,Right Lane,4,3,Moderate
113,1,Car,Right Lane,4,3,Moderate
113,10,Car,Left Lane,4,3,Moderate
113,11,Car,Left Lane,4,3,Moderate
113,13,Car,Left Lane,4,3,Moderate
113,14,Car,Right Lane,4,3,Moderate
113,18,Car,Left Lane,4,3,Moderate
113,19,Car,Right Lane,4,3,Moderate
114,1,Car,Right Lane,4,3,Moderate
114,10,Car,Left Lane,4,3,Moderate
114,11,Car,Left Lane,4,3,Moderate
114,13,Car,Left Lane,4,3,Moderate
114,14,Car,Right Lane,4,3,Moderate
114,18,Car,Left Lane,4,3,Moderate
114,19,Car,Right Lane,4,3,Moderate
115,1,Car,Right Lane,4,3,Moderate
115,10,Car,Left Lane,4,3,Moderate
115,11,Car,Left Lane,4,3,Moderate
115,13,Car,Left Lane,4,3,Moderate
115,14,Car,Right Lane,4,3,Moderate
115,18,Car,Left Lane,4,3,Moderate
115,19,Car,Right Lane,4,3,Moderate
116,1,Car,Right Lane,4,3,Moderate
116,10,Car,Left Lane,4,3,Moderate
116,11,Car,Left Lane,4,3,Moderate
116,13,Car,Left Lane,4,3,Moderate
116,14,Car,Right Lane,4,3,Moderate
116,18,Car,Left Lane,4,3,Moderate
116,19,Car,Right Lane,4,3,Moderate
117,1,Car,Right Lane,4,3,Moderate
117,10,Car,Left Lane,4,3,Moderate
117,11,Car,Left Lane,4,3,Moderate
117,13,Car,Left Lane,4,3,Moderate
117,14,Car,Right Lane,4,3,Moderate
117,18,Car,Left Lane,4,3,Moderate
117,19,Car,Right Lane,4,3,Moderate
118,1,Car,Right Lane,5,3,Moderate
118,10,Car,Left Lane,5,3,Moderate
